NOC;Edition;Sport;Bronze;Gold;Silver
SWE;1960;Athletics;;;1
SWE;1960;Aquatics;;;1
SWE;2012;Wrestling;1;;
SWE;2012;Sailing;1;1;
SWE;2012;Triathlon;;;1
SWE;2012;Shooting;;;1
SWE;2012;Handball;;;1
SWE;2012;Equestrian;;;1
SWE;1996;Wrestling;1;;
SWE;1996;Canoe / Kayak;1;1;
SWE;1996;Sailing;;;1
SWE;1996;Handball;;;1
SWE;1996;Athletics;;1;
SWE;1996;Archery;;;1
SWE;1996;Aquatics;;;1
SWE;2008;Sailing;1;;
SWE;2008;Tennis;;;1
SWE;2008;Equestrian;;;1
SWE;2008;Cycling;;;2
SWE;2004;Sailing;1;;
SWE;2004;Wrestling;;;1
SWE;2004;Equestrian;;;1
SWE;2004;Canoe / Kayak;;1;
SWE;2004;Athletics;;3;
SWE;1968;Cycling;1;;1
SWE;1968;Sailing;;1;
SWE;1968;Modern Pentathlon;;1;
SWE;1900;Athletics;1;;
SWE;1976;Sailing;;1;
SWE;1976;Fencing;;1;
SWE;1976;Cycling;;1;
SWE;1976;Athletics;;1;
SWE;1976;Aquatics;;;1
HUN;1972;Wrestling;4;1;
HUN;1972;Weightlifting;3;1;1
HUN;1972;Fencing;2;2;4
HUN;1972;Canoe / Kayak;2;;2
HUN;1972;Aquatics;2;;2
HUN;1972;Shooting;1;;
HUN;1972;Gymnastics;1;;
HUN;1972;Boxing;1;1;2
HUN;1972;Modern Pentathlon;;1;1
HUN;1972;Football;;;1
HUN;1952;Gymnastics;5;2;1
HUN;1952;Athletics;4;1;
HUN;1952;Fencing;2;2;2
HUN;1952;Wrestling;1;2;1
HUN;1952;Shooting;1;1;1
HUN;1952;Modern Pentathlon;1;1;1
HUN;1952;Canoe / Kayak;1;;2
HUN;1952;Aquatics;1;5;2
HUN;1952;Football;;1;
HUN;1952;Boxing;;1;
HUN;1980;Fencing;3;;2
HUN;1980;Wrestling;2;2;3
HUN;1980;Judo;2;;
HUN;1980;Boxing;2;;
HUN;1980;Aquatics;2;1;2
HUN;1980;Weightlifting;1;1;
HUN;1980;Sailing;1;;
HUN;1980;Gymnastics;1;1;
HUN;1980;Canoe / Kayak;1;1;1
HUN;1980;Shooting;;1;
HUN;1980;Modern Pentathlon;;;2
HUN;1976;Canoe / Kayak;5;;3
HUN;1976;Fencing;2;1;
HUN;1976;Wrestling;1;;1
HUN;1976;Weightlifting;1;;1
HUN;1976;Modern Pentathlon;1;;
HUN;1976;Judo;1;;
HUN;1976;Handball;1;;
HUN;1976;Gymnastics;1;1;
HUN;1976;Athletics;;1;
HUN;1976;Aquatics;;1;
HUN;1968;Athletics;4;2;1
HUN;1968;Fencing;3;2;2
HUN;1968;Wrestling;2;2;
HUN;1968;Weightlifting;1;;1
HUN;1968;Canoe / Kayak;1;2;3
HUN;1968;Aquatics;1;;
HUN;1968;Shooting;;;1
HUN;1968;Rowing;;;1
HUN;1968;Modern Pentathlon;;1;1
HUN;1968;Football;;1;
HUN;1948;Gymnastics;3;1;2
HUN;1948;Aquatics;3;;2
HUN;1948;Wrestling;2;1;1
HUN;1948;Fencing;2;3;
HUN;1948;Rowing;1;;
HUN;1948;Athletics;1;2;
HUN;1948;Shooting;;1;
HUN;1948;Boxing;;2;
HUN;1996;Canoe / Kayak;3;2;1
HUN;1996;Fencing;2;;1
HUN;1996;Aquatics;2;3;1
HUN;1996;Weightlifting;1;;
HUN;1996;Modern Pentathlon;1;;
HUN;1996;Handball;1;;
HUN;1996;Gymnastics;;;1
HUN;1996;Boxing;;1;
HUN;1996;Athletics;;1;
HUN;1992;Boxing;3;;
HUN;1992;Canoe / Kayak;2;1;3
HUN;1992;Judo;1;1;2
HUN;1992;Aquatics;1;5;3
HUN;1992;Wrestling;;2;
HUN;1992;Modern Pentathlon;;;1
HUN;1992;Gymnastics;;1;1
HUN;1992;Fencing;;1;2
HUN;1960;Canoe / Kayak;2;1;3
HUN;1960;Athletics;2;;1
HUN;1960;Weightlifting;1;;
HUN;1960;Football;1;;
HUN;1960;Aquatics;1;;
HUN;1960;Wrestling;;;1
HUN;1960;Modern Pentathlon;;2;1
HUN;1960;Fencing;;2;2
HUN;1960;Boxing;;1;
HUN;1956;Canoe / Kayak;3;1;3
HUN;1956;Wrestling;1;;1
HUN;1956;Gymnastics;1;4;2
HUN;1956;Fencing;1;2;1
HUN;1956;Aquatics;1;1;1
HUN;1956;Boxing;;1;
HUN;1956;Athletics;;;2
HUN;2012;Wrestling;2;;1
HUN;2012;Modern Pentathlon;1;;
HUN;2012;Judo;1;;1
HUN;2012;Canoe / Kayak;1;3;2
HUN;2012;Aquatics;1;2;
HUN;2012;Gymnastics;;1;
HUN;2012;Fencing;;1;
HUN;2012;Athletics;;1;
HUN;1988;Shooting;2;;
HUN;1988;Fencing;2;1;
HUN;1988;Canoe / Kayak;1;2;1
HUN;1988;Boxing;1;;
HUN;1988;Wrestling;;1;1
HUN;1988;Weightlifting;;;2
HUN;1988;Modern Pentathlon;;2;
HUN;1988;Gymnastics;;1;
HUN;1988;Aquatics;;4;2
HUN;1964;Weightlifting;1;;2
HUN;1964;Shooting;1;1;
HUN;1964;Modern Pentathlon;1;1;
HUN;1964;Gymnastics;1;;1
HUN;1964;Athletics;1;;3
HUN;1964;Wrestling;;2;
HUN;1964;Football;;1;
HUN;1964;Fencing;;4;
HUN;1964;Canoe / Kayak;;;1
HUN;1964;Aquatics;;1;
HUN;1936;Wrestling;1;3;
HUN;1936;Gymnastics;1;;
HUN;1936;Fencing;1;3;
HUN;1936;Equestrian;1;;
HUN;1936;Aquatics;1;2;
HUN;1936;Shooting;;;1
HUN;1936;Boxing;;1;
HUN;1936;Athletics;;1;
HUN;1932;Fencing;2;2;
HUN;1932;Wrestling;1;;2
HUN;1932;Shooting;1;;
HUN;1932;Aquatics;1;1;
HUN;1932;Gymnastics;;2;2
HUN;1932;Boxing;;1;
HUN;1924;Fencing;2;1;1
HUN;1924;Wrestling;1;;1
HUN;1924;Aquatics;1;;
HUN;1924;Shooting;;1;
HUN;1924;Athletics;;;1
HUN;2004;Canoe / Kayak;2;3;1
HUN;2004;Aquatics;1;1;1
HUN;2004;Wrestling;;1;
HUN;2004;Weightlifting;;;1
HUN;2004;Shooting;;1;
HUN;2004;Modern Pentathlon;;1;
HUN;2004;Fencing;;1;2
HUN;2004;Athletics;;;1
HUN;2000;Shooting;1;;
HUN;2000;Canoe / Kayak;1;4;2
HUN;2000;Boxing;1;;
HUN;2000;Wrestling;;;1
HUN;2000;Weightlifting;;;1
HUN;2000;Modern Pentathlon;;;1
HUN;2000;Handball;;;1
HUN;2000;Gymnastics;;1;
HUN;2000;Fencing;;1;
HUN;2000;Aquatics;;2;
HUN;1912;Wrestling;1;;
HUN;1912;Fencing;1;2;1
HUN;1912;Athletics;1;;
HUN;1912;Shooting;;1;
HUN;1912;Gymnastics;;;1
HUN;1896;Athletics;2;;1
HUN;1896;Tennis;1;;
HUN;1896;Aquatics;;2;
HUN;2008;Fencing;1;;
HUN;2008;Canoe / Kayak;1;2;1
HUN;2008;Wrestling;;;1
HUN;2008;Aquatics;;1;3
HUN;1908;Rowing;1;;
HUN;1908;Athletics;1;;1
HUN;1908;Wrestling;;1;
HUN;1908;Fencing;;2;1
HUN;1908;Aquatics;;;2
HUN;1900;Athletics;1;1;
HUN;1900;Aquatics;1;;2
HUN;1904;Aquatics;1;2;1
HUN;1928;Wrestling;;1;1
HUN;1928;Fencing;;2;1
HUN;1928;Boxing;;1;
HUN;1928;Athletics;;;1
HUN;1928;Aquatics;;;2
JPN;1984;Weightlifting;3;;
JPN;1984;Gymnastics;3;3;3
JPN;1984;Wrestling;2;2;5
JPN;1984;Aquatics;2;;
JPN;1984;Volleyball;1;;
JPN;1984;Judo;1;4;
JPN;1984;Cycling;1;;
JPN;1984;Archery;1;;
JPN;1984;Shooting;;1;
JPN;2012;Aquatics;8;;3
JPN;2012;Judo;2;1;3
JPN;2012;Volleyball;1;;
JPN;2012;Athletics;1;;
JPN;2012;Archery;1;;1
JPN;2012;Wrestling;;4;
JPN;2012;Weightlifting;;;1
JPN;2012;Table Tennis;;;1
JPN;2012;Gymnastics;;1;2
JPN;2012;Football;;;1
JPN;2012;Fencing;;;1
JPN;2012;Boxing;;1;
JPN;2012;Badminton;;;1
JPN;2004;Aquatics;4;3;3
JPN;2004;Wrestling;3;2;1
JPN;2004;Gymnastics;2;1;1
JPN;2004;Softball;1;;
JPN;2004;Sailing;1;;
JPN;2004;Baseball;1;;
JPN;2004;Judo;;8;2
JPN;2004;Cycling;;;1
JPN;2004;Athletics;;2;
JPN;2004;Archery;;;1
JPN;1992;Judo;4;2;4
JPN;1992;Gymnastics;2;;1
JPN;1992;Aquatics;2;1;
JPN;1992;Wrestling;1;;
JPN;1992;Shooting;1;;1
JPN;1992;Baseball;1;;
JPN;1992;Athletics;;;2
JPN;2008;Aquatics;4;2;
JPN;2008;Wrestling;2;2;2
JPN;2008;Judo;2;4;1
JPN;2008;Cycling;1;;
JPN;2008;Athletics;1;;
JPN;2008;Softball;;1;
JPN;2008;Gymnastics;;;2
JPN;2008;Fencing;;;1
JPN;1976;Wrestling;4;2;
JPN;1976;Gymnastics;3;3;4
JPN;1976;Weightlifting;2;;
JPN;1976;Judo;1;3;1
JPN;1976;Volleyball;;1;
JPN;1976;Archery;;;1
JPN;1972;Gymnastics;6;5;5
JPN;1972;Judo;1;3;
JPN;1972;Aquatics;1;2;
JPN;1972;Wrestling;;2;2
JPN;1972;Volleyball;;1;1
JPN;1964;Weightlifting;2;1;
JPN;1964;Wrestling;1;5;
JPN;1964;Volleyball;1;1;
JPN;1964;Shooting;1;;
JPN;1964;Gymnastics;1;5;4
JPN;1964;Athletics;1;;
JPN;1964;Aquatics;1;;
JPN;1964;Judo;;3;1
JPN;1964;Boxing;;1;
JPN;1936;Aquatics;5;4;2
JPN;1936;Athletics;3;2;2
JPN;1988;Judo;3;1;
JPN;1988;Gymnastics;2;;
JPN;1988;Aquatics;2;1;
JPN;1988;Wrestling;;2;2
JPN;1988;Shooting;;;1
JPN;1968;Gymnastics;4;6;2
JPN;1968;Weightlifting;1;1;1
JPN;1968;Football;1;;
JPN;1968;Boxing;1;;
JPN;1968;Wrestling;;4;1
JPN;1968;Volleyball;;;2
JPN;1968;Athletics;;;1
JPN;1960;Gymnastics;3;4;2
JPN;1960;Aquatics;2;;3
JPN;1960;Shooting;1;;
JPN;1960;Boxing;1;;
JPN;1960;Wrestling;;;1
JPN;1960;Weightlifting;;;1
JPN;2000;Judo;2;4;2
JPN;2000;Aquatics;2;;4
JPN;2000;Taekwondo;1;;
JPN;2000;Wrestling;;;1
JPN;2000;Softball;;;1
JPN;2000;Athletics;;1;
JPN;1996;Wrestling;1;;
JPN;1996;Judo;1;3;4
JPN;1996;Cycling;1;;
JPN;1996;Athletics;1;;
JPN;1996;Aquatics;1;;
JPN;1996;Sailing;;;1
JPN;1996;Baseball;;;1
JPN;1956;Gymnastics;5;1;5
JPN;1956;Wrestling;;2;1
JPN;1956;Aquatics;;1;4
JPN;1932;Athletics;2;1;1
JPN;1932;Aquatics;2;5;5
JPN;1932;Hockey;;;1
JPN;1932;Equestrian;;1;
JPN;1952;Gymnastics;2;;2
JPN;1952;Wrestling;;1;1
JPN;1952;Aquatics;;;3
JPN;1928;Aquatics;1;1;1
JPN;1928;Athletics;;1;1
JPN;1924;Wrestling;1;;
JPN;1920;Tennis;;;2
RUS;2004;Athletics;7;6;7
RUS;2004;Weightlifting;5;1;2
RUS;2004;Wrestling;3;5;2
RUS;2004;Shooting;3;3;4
RUS;2004;Judo;3;;2
RUS;2004;Fencing;3;1;
RUS;2004;Boxing;3;3;
RUS;2004;Aquatics;3;2;3
RUS;2004;Gymnastics;2;2;3
RUS;2004;Canoe / Kayak;2;;1
RUS;2004;Volleyball;1;;1
RUS;2004;Handball;1;;
RUS;2004;Cycling;1;2;2
RUS;2004;Basketball;1;;
RUS;2004;Rowing;;1;
RUS;2004;Modern Pentathlon;;1;
RUS;2000;Gymnastics;6;9;5
RUS;2000;Athletics;6;3;4
RUS;2000;Aquatics;4;4;3
RUS;2000;Weightlifting;2;;1
RUS;2000;Shooting;2;1;3
RUS;2000;Judo;2;;1
RUS;2000;Cycling;2;1;1
RUS;2000;Boxing;2;2;3
RUS;2000;Wrestling;1;6;2
RUS;2000;Rowing;1;;
RUS;2000;Fencing;1;3;
RUS;2000;Volleyball;;;2
RUS;2000;Tennis;;1;1
RUS;2000;Taekwondo;;;1
RUS;2000;Modern Pentathlon;;1;
RUS;2000;Handball;;1;
RUS;2000;Canoe / Kayak;;;1
RUS;2008;Athletics;7;6;5
RUS;2008;Aquatics;4;3;4
RUS;2008;Weightlifting;3;;4
RUS;2008;Wrestling;2;6;3
RUS;2008;Shooting;2;;2
RUS;2008;Gymnastics;2;2;
RUS;2008;Cycling;2;;
RUS;2008;Volleyball;1;;
RUS;2008;Tennis;1;1;1
RUS;2008;Canoe / Kayak;1;1;1
RUS;2008;Boxing;1;2;
RUS;2008;Basketball;1;;
RUS;2008;Archery;1;;
RUS;2008;Modern Pentathlon;;1;
RUS;2008;Handball;;;1
RUS;2008;Fencing;;1;
RUS;2012;Athletics;5;8;4
RUS;2012;Gymnastics;4;3;5
RUS;2012;Taekwondo;2;;
RUS;2012;Cycling;2;;
RUS;2012;Canoe / Kayak;2;1;
RUS;2012;Aquatics;2;3;2
RUS;2012;Wrestling;1;4;2
RUS;2012;Weightlifting;1;;5
RUS;2012;Tennis;1;;1
RUS;2012;Shooting;1;;
RUS;2012;Judo;1;3;1
RUS;2012;Fencing;1;;2
RUS;2012;Boxing;1;1;2
RUS;2012;Basketball;1;;
RUS;2012;Badminton;1;;
RUS;2012;Volleyball;;1;
RUS;1996;Gymnastics;4;3;3
RUS;1996;Boxing;3;1;
RUS;1996;Wrestling;2;4;1
RUS;1996;Aquatics;2;5;3
RUS;1996;Shooting;1;3;2
RUS;1996;Rowing;1;;
RUS;1996;Fencing;1;4;2
RUS;1996;Canoe / Kayak;1;;
RUS;1996;Athletics;1;3;6
RUS;1996;Weightlifting;;2;1
RUS;1996;Sailing;;;1
RUS;1996;Modern Pentathlon;;;1
RUS;1996;Cycling;;1;1
GDR;1980;Athletics;10;11;8
GDR;1980;Aquatics;9;14;11
GDR;1980;Gymnastics;6;2;3
GDR;1980;Boxing;5;1;
GDR;1980;Judo;4;1;
GDR;1980;Canoe / Kayak;3;4;1
GDR;1980;Rowing;2;11;1
GDR;1980;Weightlifting;1;;2
GDR;1980;Shooting;1;;5
GDR;1980;Handball;1;1;
GDR;1980;Wrestling;;;1
GDR;1980;Volleyball;;;1
GDR;1980;Sailing;;;1
GDR;1980;Football;;;1
GDR;1980;Cycling;;2;2
GDR;1988;Athletics;10;6;11
GDR;1988;Aquatics;9;11;8
GDR;1988;Gymnastics;4;1;3
GDR;1988;Canoe / Kayak;2;3;4
GDR;1988;Wrestling;1;;
GDR;1988;Weightlifting;1;1;1
GDR;1988;Rowing;1;8;1
GDR;1988;Judo;1;;2
GDR;1988;Cycling;1;3;2
GDR;1988;Shooting;;1;1
GDR;1988;Sailing;;1;
GDR;1988;Fencing;;;1
GDR;1988;Boxing;;2;1
GDR;1976;Athletics;9;11;7
GDR;1976;Gymnastics;3;;1
GDR;1976;Canoe / Kayak;3;3;1
GDR;1976;Weightlifting;2;;1
GDR;1976;Rowing;2;9;3
GDR;1976;Cycling;2;1;
GDR;1976;Aquatics;2;11;7
GDR;1976;Wrestling;1;;1
GDR;1976;Sailing;1;1;
GDR;1976;Shooting;;2;2
GDR;1976;Handball;;;1
GDR;1976;Football;;1;
GDR;1976;Boxing;;1;1
GDR;1972;Athletics;5;8;7
GDR;1972;Aquatics;4;2;5
GDR;1972;Rowing;3;3;1
GDR;1972;Weightlifting;2;;
GDR;1972;Shooting;2;;
GDR;1972;Gymnastics;2;3;4
GDR;1972;Judo;1;;
GDR;1972;Football;1;;
GDR;1972;Cycling;1;;2
GDR;1972;Canoe / Kayak;1;4;1
GDR;1972;Boxing;1;;
GDR;1972;Wrestling;;;1
GDR;1972;Volleyball;;;1
GDR;1972;Sailing;;;1
GDR;1968;Shooting;2;;
GDR;1968;Gymnastics;2;;2
GDR;1968;Sailing;1;;
GDR;1968;Athletics;1;2;3
GDR;1968;Aquatics;1;2;3
GDR;1968;Wrestling;;2;
GDR;1968;Rowing;;2;1
GDR;1968;Boxing;;1;
CHN;2008;Aquatics;6;8;4
CHN;2008;Gymnastics;5;11;2
CHN;2008;Badminton;3;3;2
CHN;2008;Volleyball;2;;1
CHN;2008;Table Tennis;2;4;2
CHN;2008;Athletics;2;;
CHN;2008;Tennis;1;;
CHN;2008;Taekwondo;1;1;
CHN;2008;Shooting;1;5;2
CHN;2008;Sailing;1;1;
CHN;2008;Judo;1;3;
CHN;2008;Cycling;1;;
CHN;2008;Boxing;1;2;1
CHN;2008;Archery;1;1;1
CHN;2008;Wrestling;;1;2
CHN;2008;Weightlifting;;8;1
CHN;2008;Rowing;;1;1
CHN;2008;Hockey;;;1
CHN;2008;Fencing;;1;1
CHN;2008;Canoe / Kayak;;1;
CHN;2012;Aquatics;5;11;5
CHN;2012;Athletics;4;1;1
CHN;2012;Shooting;3;2;2
CHN;2012;Gymnastics;3;5;4
CHN;2012;Fencing;1;2;
CHN;2012;Cycling;1;;2
CHN;2012;Boxing;1;1;1
CHN;2012;Badminton;1;5;2
CHN;2012;Archery;1;;1
CHN;2012;Wrestling;;;1
CHN;2012;Weightlifting;;5;2
CHN;2012;Taekwondo;;1;1
CHN;2012;Table Tennis;;4;2
CHN;2012;Sailing;;1;
CHN;2012;Rowing;;;1
CHN;2012;Modern Pentathlon;;;1
CHN;2012;Judo;;;1
CHN;1992;Badminton;4;;1
CHN;1992;Weightlifting;2;;2
CHN;1992;Judo;2;1;
CHN;1992;Gymnastics;2;2;4
CHN;1992;Athletics;2;1;1
CHN;1992;Wrestling;1;;
CHN;1992;Table Tennis;1;3;2
CHN;1992;Rowing;1;;
CHN;1992;Aquatics;1;7;6
CHN;1992;Shooting;;2;2
CHN;1992;Sailing;;;1
CHN;1992;Fencing;;;1
CHN;1992;Basketball;;;1
CHN;1992;Archery;;;1
CHN;2004;Shooting;3;4;2
CHN;2004;Judo;3;1;1
CHN;2004;Gymnastics;3;1;
CHN;2004;Table Tennis;2;3;1
CHN;2004;Boxing;1;;
CHN;2004;Badminton;1;3;1
CHN;2004;Aquatics;1;7;3
CHN;2004;Wrestling;;1;
CHN;2004;Weightlifting;;5;3
CHN;2004;Volleyball;;1;
CHN;2004;Tennis;;1;
CHN;2004;Taekwondo;;2;
CHN;2004;Sailing;;;1
CHN;2004;Fencing;;;3
CHN;2004;Cycling;;;1
CHN;2004;Canoe / Kayak;;1;
CHN;2004;Athletics;;2;
CHN;2004;Archery;;;1
CHN;2000;Shooting;3;3;2
CHN;2000;Badminton;3;4;1
CHN;2000;Gymnastics;2;3;2
CHN;2000;Wrestling;1;;
CHN;2000;Weightlifting;1;5;1
CHN;2000;Table Tennis;1;4;3
CHN;2000;Judo;1;2;1
CHN;2000;Fencing;1;;1
CHN;2000;Cycling;1;;
CHN;2000;Taekwondo;;1;
CHN;2000;Athletics;;1;
CHN;2000;Aquatics;;5;5
CHN;1996;Aquatics;3;4;4
CHN;1996;Badminton;2;1;1
CHN;1996;Wrestling;1;;
CHN;1996;Weightlifting;1;2;1
CHN;1996;Table Tennis;1;4;3
CHN;1996;Shooting;1;2;2
CHN;1996;Judo;1;1;
CHN;1996;Gymnastics;1;1;4
CHN;1996;Athletics;1;1;2
CHN;1996;Volleyball;;;1
CHN;1996;Softball;;;1
CHN;1996;Rowing;;;1
CHN;1996;Football;;;1
CHN;1996;Archery;;;1
CHN;1988;Weightlifting;4;;1
CHN;1988;Aquatics;2;2;6
CHN;1988;Volleyball;1;;
CHN;1988;Table Tennis;1;2;2
CHN;1988;Shooting;1;;1
CHN;1988;Rowing;1;;1
CHN;1988;Gymnastics;1;1;
CHN;1988;Athletics;1;;
CHN;1984;Shooting;3;3;
CHN;1984;Gymnastics;2;5;4
CHN;1984;Handball;1;;
CHN;1984;Basketball;1;;
CHN;1984;Athletics;1;;
CHN;1984;Aquatics;1;1;1
CHN;1984;Weightlifting;;4;2
CHN;1984;Volleyball;;1;
CHN;1984;Fencing;;1;
CHN;1984;Archery;;;1
POL;1980;Boxing;4;;1
POL;1980;Weightlifting;3;;
POL;1980;Wrestling;2;;5
POL;1980;Fencing;2;;1
POL;1980;Rowing;1;;1
POL;1980;Judo;1;;
POL;1980;Athletics;1;2;4
POL;1980;Aquatics;1;;
POL;1980;Equestrian;;1;1
POL;1980;Cycling;;;1
POL;1976;Boxing;4;1;
POL;1976;Wrestling;2;1;
POL;1976;Weightlifting;2;;1
POL;1976;Shooting;2;;
POL;1976;Judo;1;;
POL;1976;Handball;1;;
POL;1976;Cycling;1;;1
POL;1976;Volleyball;;1;
POL;1976;Modern Pentathlon;;1;
POL;1976;Football;;;1
POL;1976;Canoe / Kayak;;;1
POL;1976;Athletics;;3;2
POL;1968;Weightlifting;4;1;
POL;1968;Fencing;2;1;
POL;1968;Boxing;2;1;2
POL;1968;Volleyball;1;;
POL;1968;Cycling;1;;
POL;1968;Athletics;1;1;
POL;1968;Shooting;;1;
POL;1960;Boxing;3;1;3
POL;1960;Athletics;3;2;2
POL;1960;Canoe / Kayak;2;;
POL;1960;Wrestling;1;;
POL;1960;Weightlifting;1;1;
POL;1960;Rowing;1;;
POL;1960;Fencing;;;1
POL;1992;Weightlifting;2;;1
POL;1992;Rowing;2;;
POL;1992;Canoe / Kayak;2;;1
POL;1992;Shooting;1;;
POL;1992;Fencing;1;;
POL;1992;Boxing;1;;
POL;1992;Athletics;1;;
POL;1992;Wrestling;;;2
POL;1992;Modern Pentathlon;;2;
POL;1992;Judo;;1;
POL;1992;Football;;;1
POL;1992;Aquatics;;;1
POL;1964;Weightlifting;3;1;
POL;1964;Boxing;3;3;1
POL;1964;Athletics;2;2;4
POL;1964;Volleyball;1;;
POL;1964;Fencing;1;1;1
POL;1988;Boxing;4;;
POL;1988;Canoe / Kayak;2;;1
POL;1988;Wrestling;1;1;1
POL;1988;Weightlifting;1;;
POL;1988;Aquatics;1;;
POL;1988;Judo;;1;1
POL;1988;Fencing;;;1
POL;1988;Cycling;;;1
POL;1972;Wrestling;2;;
POL;1972;Boxing;2;1;1
POL;1972;Athletics;2;1;
POL;1972;Weightlifting;1;1;1
POL;1972;Cycling;1;;1
POL;1972;Canoe / Kayak;1;;
POL;1972;Shooting;;1;
POL;1972;Judo;;;1
POL;1972;Football;;1;
POL;1972;Fencing;;2;
POL;1972;Archery;;;1
POL;2012;Sailing;2;;
POL;2012;Weightlifting;1;1;
POL;2012;Rowing;1;;
POL;2012;Canoe / Kayak;1;;
POL;2012;Shooting;;;1
POL;2012;Athletics;;1;1
POL;2004;Weightlifting;1;;
POL;2004;Sailing;1;;
POL;2004;Fencing;1;;
POL;2004;Canoe / Kayak;1;;
POL;2004;Athletics;1;1;
POL;2004;Rowing;;1;
POL;2004;Aquatics;;1;2
POL;1996;Wrestling;1;3;1
POL;1996;Weightlifting;1;;
POL;1996;Shooting;1;1;1
POL;1996;Canoe / Kayak;1;;
POL;1996;Archery;1;;
POL;1996;Sailing;;1;
POL;1996;Judo;;1;1
POL;1996;Fencing;;;1
POL;1996;Athletics;;1;1
POL;1956;Boxing;2;;
POL;1956;Weightlifting;1;;
POL;1956;Gymnastics;1;;
POL;1956;Shooting;;;1
POL;1956;Fencing;;;2
POL;1956;Athletics;;1;1
POL;1932;Rowing;2;;1
POL;1932;Fencing;1;;
POL;1932;Athletics;1;2;
POL;2000;Canoe / Kayak;2;;2
POL;2000;Gymnastics;1;;
POL;2000;Weightlifting;;;2
POL;2000;Shooting;;1;
POL;2000;Rowing;;1;
POL;2000;Fencing;;;1
POL;2000;Athletics;;4;
POL;1936;Shooting;1;;
POL;1936;Rowing;1;;
POL;1936;Athletics;1;;2
POL;1936;Equestrian;;;1
POL;1928;Rowing;1;;
POL;1928;Fencing;1;;
POL;1928;Equestrian;1;;1
POL;1928;Athletics;;1;
POL;2008;Wrestling;1;;
POL;2008;Weightlifting;;;1
POL;2008;Rowing;;1;1
POL;2008;Gymnastics;;1;
POL;2008;Fencing;;;1
POL;2008;Cycling;;;1
POL;2008;Canoe / Kayak;;;1
POL;2008;Athletics;;1;1
POL;1952;Rowing;1;;
POL;1952;Gymnastics;;;1
POL;1952;Boxing;;1;1
POL;1948;Boxing;1;;
POL;1924;Equestrian;1;;
POL;1924;Cycling;;;1
ROU;1984;Athletics;4;3;3
ROU;1984;Wrestling;3;2;1
ROU;1984;Judo;2;;
ROU;1984;Gymnastics;2;5;2
ROU;1984;Weightlifting;1;2;5
ROU;1984;Handball;1;;
ROU;1984;Fencing;1;;1
ROU;1984;Canoe / Kayak;1;2;1
ROU;1984;Boxing;1;;
ROU;1984;Aquatics;1;;
ROU;1984;Shooting;;;1
ROU;1984;Rowing;;6;2
ROU;1976;Wrestling;3;;3
ROU;1976;Gymnastics;3;3;2
ROU;1976;Boxing;3;;2
ROU;1976;Canoe / Kayak;2;1;1
ROU;1976;Rowing;1;;
ROU;1976;Fencing;1;;
ROU;1976;Athletics;1;;
ROU;1976;Handball;;;1
ROU;1980;Wrestling;2;1;1
ROU;1980;Rowing;2;1;
ROU;1980;Gymnastics;2;2;3
ROU;1980;Canoe / Kayak;2;1;2
ROU;1980;Boxing;2;;
ROU;1980;Volleyball;1;;
ROU;1980;Handball;1;;
ROU;1980;Equestrian;1;;
ROU;1980;Shooting;;1;
ROU;2000;Canoe / Kayak;2;1;
ROU;2000;Athletics;2;1;2
ROU;2000;Shooting;1;;
ROU;2000;Judo;1;;
ROU;2000;Gymnastics;1;3;2
ROU;2000;Boxing;1;;1
ROU;2000;Aquatics;1;2;1
ROU;2000;Rowing;;3;
ROU;2000;Fencing;;1;
ROU;1996;Gymnastics;5;1;4
ROU;1996;Boxing;2;;
ROU;1996;Weightlifting;1;;
ROU;1996;Canoe / Kayak;1;;1
ROU;1996;Rowing;;2;
ROU;1996;Fencing;;1;1
ROU;1996;Athletics;;;1
ROU;1992;Gymnastics;2;2;1
ROU;1992;Wrestling;1;;
ROU;1992;Weightlifting;1;;
ROU;1992;Shooting;1;;
ROU;1992;Rowing;1;2;4
ROU;1992;Fencing;1;;
ROU;1992;Boxing;1;;
ROU;1992;Athletics;;;1
ROU;1972;Wrestling;2;2;
ROU;1972;Shooting;1;;1
ROU;1972;Rowing;1;;
ROU;1972;Handball;1;;
ROU;1972;Fencing;1;;
ROU;1972;Canoe / Kayak;1;1;2
ROU;1972;Boxing;;;1
ROU;1972;Athletics;;;2
ROU;2004;Gymnastics;3;4;3
ROU;2004;Boxing;1;;
ROU;2004;Athletics;1;;2
ROU;2004;Aquatics;1;1;
ROU;2004;Rowing;;3;
ROU;1988;Gymnastics;3;3;3
ROU;1988;Rowing;2;1;4
ROU;1988;Aquatics;1;;1
ROU;1988;Wrestling;;1;
ROU;1988;Weightlifting;;;1
ROU;1988;Shooting;;1;
ROU;1988;Boxing;;;1
ROU;1988;Athletics;;1;1
ROU;1964;Canoe / Kayak;3;;2
ROU;1964;Wrestling;2;;1
ROU;1964;Athletics;1;2;
ROU;1964;Shooting;;;1
ROU;1960;Wrestling;1;1;1
ROU;1960;Gymnastics;1;;
ROU;1960;Fencing;1;;
ROU;1960;Canoe / Kayak;1;;
ROU;1960;Boxing;1;;
ROU;1960;Athletics;1;1;
ROU;1960;Shooting;;1;
ROU;1968;Wrestling;2;;1
ROU;1968;Fencing;1;1;
ROU;1968;Canoe / Kayak;1;1;1
ROU;1968;Boxing;1;;1
